Georg Schwarzenbeck;DE
Uwe Seeler;DE
Joachim Streich;DE
Fritz Szepan;DE
Bert Trautmann;DE
Toni Turek;DE
Adolf Urban;DE
Berti Vogts;DE
Rudi Völler;DE
Ottmar Walter;DE
Fritz Walter;DE
Christian Wörns;DE
Franz Binder;AT
Ernst Happel;AT
Hans Krankl;AT
Anton Polster;AT
Andreas Herzog;AT
Matthias Sindelar;AT
Andrés D'Alessandro;AR
Gabriel Batistuta;AR
Rodolfo Esteban Cardoso;AR
Matías Cenci;AR
Emanuel Centurión;AR
Hernán Crespo;AR
Martín Demichelis;AR
Juan Ramón Fernández;AR
Diego Fernando Klimowicz;AR
Cristián Raúl Ledesma;AR
Diego Armando Maradona;AR
Juan Carlos Menseguez;AR
Aníbal Samuel Matellán;AR
Diego Rodolfo Placente;AR
Pablo Quatrocchi;AR
Bernardo Romeo;AR
Ailton;BR
Cafu Marcos Evangelista de Moraes;BR
Roberto Carlos;BR
Leonidas da Silva;BR
Didi;BR
Pelé;BR
Rivaldo;BR
Ronaldo Luiz Nazario de Lima;BR
Zico;BR
Tony Adams;GB
David Beckham;GB
George Best;GB
Steve Bloomer;GB
Bobby Charlton;GB
Paul Gascoigne;GB
Geoff Hurst;GB
Gary Lineker;GB
Michael Owen;GB
David Seaman;GB
Alan Shearer;GB
Nobby Stiles;GB
Demetrio Albertini;IT
Roberto Baggio;IT
Franco Baresi;IT
Giacinto Facchetti;IT
Paolo Maldini;IT
Giuseppe Signori;IT
Gianluca Vialli;IT
Dino Zoff;IT
Fabien Barthez;FR
Laurent Blanc;FR
Eric Cantona;FR
Thierry Henry;FR
Johan Micoud;FR
Michel Platini;FR
Zinedine Zidane;FR
Marco van Basten;NL
Dennis Bergkamp;NL
Johan Cruyff;NL
Ruud Gullit;NL
Patrick Kluivert;NL
Ruud van Nistelrooy;NL
Frank Rijkaard;NL
Rafael van der Vaart;NL
Oleg Blochin;SU
Zbigniew Boniek;PL
József Bozsik;HU
Emilio Butragueño;ES
Jose Luis Chilavert;PY
Eusebio;PT
Luis Figo Luis Filipe Madeira Caeiro;PT
Lew Jaschin;SU
Roy Keane;IE
Henrik Larsson;SE
