Janine Murray;AU
Kasumi Takahashi;AU
Caroline Weber;AT
Marina Durunda;AZ
Dinara Gimatova;AZ
Anna Gurbanova;AZ
Aliya Garayeva;AZ
Zeynab Javadli;AZ
Lala Yusifova;AZ
Liubov Charkashyna;BY
Arina Charopa;BY
Katsiaryna Halkina;BY
Nataliya Leshchyk;BY
Marina Lobatch;BY
Larissa Loukianenko;BY
Aliaksandra Narkevich;BY
Tatiana Ogrizko;BY
Evgenia Pavlina;BY
Yulia Raskina;BY
Melitina Staniouta;BY
Alina Tumilovich;BY
Inna Zhukova;BY
Angélica Kvieczynski;BR
Boyanka Angelova;BG
Diliana Gueorguieva;BG
Adriana Dunavska;BG
Maria Gigova;BG
Lilia Ignatova;BG
Elizabeth Koleva;BG
Mila Marinova;BG
Sylvia Miteva;BG
Elizabeth Paisieva;BG
Bianka Panova;BG
Maria Petrova;BG
Simona Peycheva;BG
Diana Popova;BG
Anelia Ralenkova;BG
Iliana Raeva;BG
Neshka Robeva;BG
Julia Trashlieva;BG
Lori Fung;CA
Alexandra Orlando;CA
Mary Sanders;CA
Deng Senyue;CN
Zhong Ling;CN
Chrystalleni Trikomiti;CY
Dominika Cervenkova;CZ
Monika Mickova;CZ
;
Nathalie Fauquette;FR
Delphine Ledoux;FR
Kseniya Moustafaeva;FR
Eva Serrano;FR
Irina Gabashvili;GE
Salome Phajava;GE
Jana Berezko-Marggrander;DE
Lisa Ingildeeva;DE
Laura Jung;DE
Carmen Rischer;DE
Eleni Andriola;GR
Varvara Filiou;GR
Olena Dvornichenko;IL
Katia Pisetsky;IL
Irina Risenzon;IL
Neta Rivkin;IL
Maria Savenkov;IL
Rahel Vigdozchik;IL
Veronika Vitenberg;IL
Polina Zakaluzny;IL
Elisa Blanchi;IT
Julieta Cantaluppi;IT
Romina Laurito;IT
Elisa Santoni;IT
Andreea Stefanescu;IT
Anna Alyabyeva;KZ
Aliya Yussupova;KZ
Cynthia Valdez;MX
Joanna Mitrosz;PL
Aleksandra Szutenberg;PL
Irina Deleanu;RO
Alexandra Piscupescu;RO
Margarita Aliychuk;RU
Yulia Barsukova;RU
Yanina Batyrchina;RU
Galina Beloglazova;RU
Olga Belova;RU
Anastasia Bliznyuk;RU
Daria Dmitrieva;RU
Uliana Donskova;RU
Ksenia Dudkina;RU
Anna Gavrilenko;RU
Tatiana Gorbunova;RU
Olga Ilina;RU
Alina Kabaeva;RU
Evgenia Kanaeva;RU
Olga Kapranova;RU
Daria Kondakova;RU
Elena Karpuchina;RU
Oxana Kostina;RU
Yana Kudryavtseva;RU
Natalia Lavrova;RU
Natalia Lipkovskaya;RU
Margarita Mamun;RU
Alina Makarenko;RU
Alexandra Merkulova;RU
Anastasia Nazarenko;RU
Yelena Posevina;RU
Vera Sessina;RU
Karolina Sevastyanova;RU
Alexandra Soldatova;RU
Galima Shugurova;RU
Daria Svatkovskaya;RU
Irina Tchachina;RU
Maria Titova;RU
Laysan Utiasheva;RU
Amina Zaripova;RU
Shin Soo-ji;KR
Son Yeon-Jae;KR
Carmen Acedo;ES
Marta Baldó;ES
Nuria Cabanillas;ES
Almudena Cid;ES
Estela Giménez;ES
Lorena Guréndez;ES
Tania Lamarca;ES
Estíbaliz Martínez;ES
Carolina Pascual;ES
Carolina Rodríguez;ES
Anna Bessonova;UA
Irina Deriugina;UA
Natalia Godunko;UA
Alina Maksimenko;UA
Viktoria Mazur;UA
Ludmila Savinkova;UA
Oxana Skaldina[note 65];UA
Ekaterina Serebrianskaya;UA
Alexandra Timoshenko[note 66];UA
Olena Vitrichenko;UA
Ganna Rizatdinova;UA
Tamara Yerofeeva;UA
Francesca Jones;GB
Mary Sanders[note 56];US
Julie Zetlin;US
Galina Beloglazova;RU
Irina Deriugina;RU
Irina Gabashvili;RU
Elena Karpuchina;RU
Oxana Kostina;RU
Tatiana Kravtchenko;RU
Marina Lobatch;RU
Elena Tomas;RU
Ludmila Savinkova;RU
Galima Shugurova;RU
Oxana Skaldina[note 65];RU
Alexandra Timoshenko[note 66];RU
Ulyana Trofimova;UZ
Djamila Rakhmatova;UZ
