Name;Country 1;Country 2;Country 3;Country 4
Lora Jakovleva;Russia;;;
Dragoljub Janošević;Serbia;;;
Chaim Janowski;Poland;Germany;Japan;
Dawid Janowski;Poland;France;;
Vlastimil Jansa;Czech Republic;;;
Nicolai Jasnogrodsky;Ukraine;England;USA;
Carlos Jauregui;Chile;Canada;;
Florian Jenni;Switzerland;;;
Eleazar Jiménez;Cuba;;;
Baadur Jobava;Georgia;;;
Leif Erlend Johannessen;Norway;;;
Svein Johannessen;Norway;;;
Darryl Johansen;Australia;;;
Walter John;Poland;Germany;;
Hans Johner;Switzerland;;;
Paul Johner;Switzerland;;;
Gawain Jones;England;;;
Iolo Jones;Wales;;;
Paul Journoud;France;;;
Ju Wenjun;China;;;
Max Judd;Poland;USA;;
Klaus Junge;Chile;Germany;;
Otto Junge;Chile;Germany;;
Miervaldis Jursevskis;Latvia;Canada;;
Beata Kądziołka;Poland;;;
Bernhard Kagan;Poland;Germany;;
Shimon Kagan;Israel;;;
Victor Kahn;Russia;France;;
Gregory Kaidanov;Ukraine;Russia;USA;
Osmo Kaila;Finland;;;
Charles Kalme;Latvia;Germany;USA;
Gata Kamsky;Russia;USA;;
Ilya Kan;Russia;;;
Albert Kapengut;Belarus;;;
Julio Kaplan;Argentina;Puerto Rico;USA;
Darja Kapš;Slovenia;;;
Mona May Karff;Moldova;Russia;Palestine;USA
Sergey Karjakin;Ukraine;;;
Anastasiya Karlovich;Ukraine;;;
Anatoly Karpov;Russia;;;
Isaac Kashdan;USA;;;
Rustam Kasimdzhanov;Uzbekistan;;;
Garry Kasparov;Azerbaijan;Russia;;
Genrikh Kasparyan;Armenia;;;
Miroslav Katětov;Czechoslovakia;;;
Arthur Kaufmann;Romania;Austria;;
Lubomir Kavalek;Czechoslovakia;USA;;
Raymond Keene;England;;;
Hermann Keidanski;Poland;Germany;;
Dieter Keller;Switzerland;;;
Edith KellerHerrmann;Germany;;;
Rudolf Keller;Germany;;;
Brian Kelly;Ireland;;;
Emil Kemény;Hungary;USA;;
Edvīns Ķeņģis;Latvia;;;
Hugh Alexander Kennedy;Ireland;England;;
Paul Keres;Estonia;;;
Alexander Kevitz;USA;;;
Rohini Khadilkar;India;;;
Alexander Khalifman;Russia;;;
Mir Sultan Khan;India;Pakistan;;
Andrei Kharlov;Russia;;;
Murtas Kazhgaleyev;Kazakhstan;;;
Abram Khavin;Ukraine;;;
Igor Khenkin;Russia;Germany;;
Denis Khismatullin;Russia;;;
Ratmir Kholmov;Russia;Belarus;Lithuania;
Natalia Khoudgarian;Russia;Canada;;
Nino Khurtsidze;Georgia;;;
Feliks Kibbermann;Estonia;;;
Georg Kieninger;Germany;;;
Lionel Kieseritzky;Estonia;France;;
R.K. Kieseritzky;Estonia;Russia;e;
Daniel King;England;;;
Olof Kinnmark;Sweden;;;
Ove Kinnmark;Sweden;;;
Georg Klaus;Germany;;;
Jan Kleczyński;Poland;;;
Jan Kleczyński;Poland;;;
Ernst Klein;Austria;England;;
