PK,lat1,lon1,lat2,lon2
176540439010,2330.216667,-0.666667,2339.416667,-0.6
176545815016,3506.7,949.2,3485.733333,916.4
176550917030,2861.3,377.733333,2864.416667,362.483333
176551634059,2978.766667,373.1,2991.683333,367.783333
176557238029,2824.616667,1712.65,2826.816667,1719.033333
176543794007,1905.4,1476.666667,1904.25,1484.816667
176556128001,3076.85,405.433333,3077.316667,405.833333
176543090025,2524.783333,264.9,2529.25,270.316667
176531255050,2447.583333,1721.483333,2446.016667,1718.116667
176551793100,3076.883333,404.616667,3076.85,405.433333
176545340027,2756.216667,-313.283333,2747.516667,-317.466667
176557450052,1957.516667,2032,1948,2050
176548735013,3350.783333,2018.716667,3351.25,1976.35
176529751027,3120,-840,3119.933333,-834.75
176540753001,2923.4,142.766667,2921.05,135.166667
176544288006,3580.5,1103.8,3580.9,1105.733333
176540353004,1678.416667,-922.116667,1679.4,-921.683333
176539542051,3070.633333,259.333333,3071.366667,267.616667
176556799009,2437.483333,-273,2429.916667,-286.283333
176556841034,2249.366667,914.133333,2248.633333,908.666667
176529806004,2940.766667,148.5,2940.916667,145
176549828027,2855.516667,531.5,2855.35,554.133333
176547864016,3090.35,546.65,3072.433333,542.766667
176528996036,2319.7,2413,2338.733333,2378.7
176543748034,2432.983333,60.183333,2442.516667,73.9
176535121013,2984.933333,508.8,2983.533333,512.033333
176544790057,2274.633333,2512.916667,2271.55,2559.6
176536856065,3103.45,75.266667,3102.783333,64.966667
176533323002,2326.783333,2127.766667,2327.933333,2123.85
176531855009,2984.95,632.866667,2988.266667,625.016667
176529239037,3067.1,436.133333,3063.366667,439.766667
176558598020,1967.916667,2271.883333,1968.45,2273.8
176551895015,2965.45,666.933333,2967.033333,666.133333
176554781006,2320.2,83.716667,2315.633333,91.483333
176540164005,3577.033333,1073.6,3575.483333,1069.983333
176547461020,2559.233333,-425.166667,2560.083333,-426.066667
176556269026,3131.633333,-237.983333,3138.366667,-249.516667
176553740044,2880.15,773.566667,2882.45,759.966667
176541551045,2992.333333,68.733333,2985.566667,73.766667
